Time,Open,High,Low,Close,Volume
1644343200.0,42953.87,43140.08,42914.16,43060.44,430.98926
1644339600.0,43017,43204.03,42666,42953.86,3037.85262
1644336000.0,43429.32,43685.2,42910,43017.01,2906.60182
1644332400.0,43580.08,43585.85,42854.81,43429.31,3595.45402
1644328800.0,43624.95,43856.28,43525.6,43579.31,1854.86741
1644325200.0,43458.92,43632.37,43193.02,43624.95,3472.02736
1644321600.0,43988.3,43988.31,43105.3,43458.92,3510.11939
1644318000.0,43857,44066.02,43711.1,43988.3,1548.07687
1644314400.0,43859.01,43938.45,43569.76,43857,3165.50946
1644310800.0,44004.51,44257.55,43520.96,43859.02,6638.10638
1644307200.0,44855,44919.77,43750,44004.51,5353.49308
1644303600.0,44791.58,44927.83,44604.48,44855,2154.79837
1644300000.0,44883.08,45492,44237.74,44791.58,5934.69128
1644296400.0,44362.02,45000,44234.54,44883.08,2746.06
1644292800.0,44178.57,44363.34,44073.73,44362.01,1646.56491
1644289200.0,43955.01,44185,43835.41,44178.57,1660.77202
1644285600.0,44042.34,44102.5,43888.55,43954.99,1129.66778
1644282000.0,43849.99,44077.77,43798.8,44042.35,1064.18637
1644278400.0,43839.99,43992.53,43555.72,43850,2234.53421
1644274800.0,44069.99,44190.58,43742.9,43839.99,1406.55538
1644271200.0,44085.23,44180.29,43966.52,44068.99,832.12185
1644267600.0,44131.88,44248.71,43769.64,44085.24,1560.3792
1644264000.0,44252.31,44438.93,43792.77,44131.88,2240.45747
1644260400.0,44065.25,44495.02,43954.32,44252.8,2208.88557
1644256800.0,44204.41,44500.5,43708,44065.25,3442.24216
1644253200.0,43797.7,44313.19,43601,44204.42,2315.73714
1644249600.0,43835.59,44077,43484.91,43797.71,4092.4348
1644246000.0,43411.16,43895.02,43105,43835.59,4320.62993
1644242400.0,42799.47,43475.08,42766.06,43411.15,4505.33198
1644238800.0,42639.92,42900,42611.77,42799.47,1272.08618
1644235200.0,42720.03,42790.6,42490.02,42639.93,1257.33129
1644231600.0,42559.99,42754.56,42559.99,42720.03,1725.40331
1644228000.0,42410.62,42640.2,42350,42560,1150.42707
1644224400.0,42596.49,42636.46,42234.09,42410.63,1695.93013
1644220800.0,42723.91,42767.69,42522.08,42596.49,1204.2367
1644217200.0,42749.35,42768.33,42551.96,42723.92,1076.01009
1644213600.0,42798.09,42823,42653.33,42749.36,1085.72351
1644210000.0,42815.73,43000,42685.34,42798.1,2096.69625
1644206400.0,42819,42900,42700,42815.74,1650.32562
1644202800.0,42333,42944.2,42332.23,42818.99,2210.08648
1644199200.0,42102.42,42695,42095.13,42332.99,2958.78056
1644195600.0,41830.54,42266.27,41699.99,42098.41,2097.84745
1644192000.0,42380.87,42500,41645.85,41830.55,2653.75418
1644188400.0,41590.74,42656,41478.86,42380.87,4365.42262
1644184800.0,41649.98,41782.8,41536.86,41590.73,472.18573
1644181200.0,41569.99,41720.85,41535.16,41649.98,434.66354
1644177600.0,41717.93,41748.03,41500.23,41569.99,669.68796
1644174000.0,41509.04,41732,41487.99,41717.94,498.06208
1644170400.0,41644.84,41674.43,41426.6,41509.04,612.59519
1644166800.0,41640.84,41747.4,41546.65,41644.84,748.35666
1644163200.0,41519.48,41698.08,41417.23,41640.85,876.97558
1644159600.0,41306.34,41600,41116.56,41519.49,2034.81916
1644156000.0,41692.35,42168,41204.45,41306.34,3357.29142
1644152400.0,41610.99,41834.99,41479.28,41692.35,1375.97812
1644148800.0,41522,41645.34,41487.82,41610.99,596.48693
1644145200.0,41578.68,41627.63,41444,41522,437.08913
1644141600.0,41649,41700.01,41531.16,41578.68,484.01162
1644138000.0,41640,41672.99,41579.98,41648.99,479.40829
1644134400.0,41612.32,41660.63,41489.95,41640,629.80212
1644130800.0,41451.37,41714.18,41405.92,41612.33,719.75161
1644127200.0,41572.97,41580.04,41401.58,41451.37,478.02756
1644123600.0,41543.41,41587.44,41490.38,41572.96,364.03309
1644120000.0,41444.03,41545.41,41305.29,41543.41,706.11945
1644116400.0,41534.57,41556.01,41431.13,41444.04,399.475
1644112800.0,41606.04,41628.19,41462.73,41534.56,602.64639
1644109200.0,41478.67,41640,41475.85,41606.03,567.02825
1644105600.0,41382.6,41526.22,41340.35,41478.68,494.6638
1644102000.0,41579.89,41643.47,41349.81,41382.59,675.77084
1644098400.0,41627.48,41757.35,41558.17,41579.88,490.23034
1644094800.0,41647.78,41771.85,41555.55,41627.47,618.95127
1644091200.0,41544.9,41696.5,41380.11,41644,773.26242
1644087600.0,41683.89,41688.18,41487.04,41544.9,664.24227
1644084000.0,41583.94,41742.45,41505.79,41683.89,773.47937
1644080400.0,41283.81,41686.28,40843.01,41583.93,2699.97121
1644076800.0,41761.87,41854.81,41230,41283.81,1777.76781
1644073200.0,41458.73,41899.54,41326.17,41761.85,2100.85308
1644069600.0,41510.7,41755.3,41385.46,41458.73,1279.3313
1644066000.0,41379.12,41545.82,41348.62,41510.69,1370.6236
1644062400.0,41430,41513.6,41334.7,41379.13,1266.11873
1644058800.0,41565.86,41633.39,41382,41430,1327.96761
1644055200.0,41547.36,41669,41418.41,41565.86,937.06959
1644051600.0,41437.62,41564.28,41099.92,41547.36,1282.88455
1644048000.0,41379.99,41600.1,41315.68,41436.23,1672.49856
1644044400.0,41500,41501.91,41373.27,41379.99,1074.3939
1644040800.0,41525.26,41748.18,41480.41,41499.99,1083.03504
1644037200.0,41465.43,41656.25,41376.5,41525.27,1176.39063
1644033600.0,41447.85,41693.9,41369.69,41465.42,1277.42961
1644030000.0,41363.96,41471,41341.37,41447.85,860.91629
1644026400.0,41274.08,41447.08,41173.36,41363.96,976.72246
1644022800.0,41471.41,41535.73,41193.44,41274.08,1612.08923
1644019200.0,41571.7,41913.69,41342.98,41471.41,4758.14574
1644015600.0,40641.74,41772.33,40562.29,41574.25,3240.16403
1644012000.0,40624.16,40666.98,40382.84,40641.74,1145.45021
1644008400.0,40588,40631.89,40426.23,40624.15,1506.16471
1644004800.0,40727.92,40884.96,40456.25,40588,2557.78937
1644001200.0,40469.27,40877,40366.99,40727.91,2345.90165
1643997600.0,40520.45,40662.01,40278.79,40469.27,2093.46861
1643994000.0,40268.51,40557.51,40180,40520.46,3408.59177
1643990400.0,39490.88,40600,39442.89,40268.51,9229.66749
1643986800.0,37953.2,39819.91,37886.9,39490.87,12542.88189
1643983200.0,37421.41,38070.65,37290.2,37953.2,3218.65606
1643979600.0,37956.67,38200,37362.72,37421.4,3517.48646
1643976000.0,37810,38060.55,37810,37956.67,995.06572
1643972400.0,37879.74,37994.6,37810,37810,1269.60798
1643968800.0,38014,38236.08,37763.74,37879.74,1763.02639
1643965200.0,37957.32,38140.39,37900,38014.01,1364.8923
1643961600.0,37869.31,38047.98,37850.01,37957.32,1418.59898
1643958000.0,37990.02,38222,37838.13,37869.31,1825.08534
1643954400.0,37547.01,38025.6,37547,37990.02,2508.64163
1643950800.0,37289.35,37689,37260.01,37547.01,2630.83036
1643947200.0,37297.61,37356,37245,37289.34,1062.99863
1643943600.0,37326.26,37420.51,37266.31,37297.62,977.10595
1643940000.0,37168.59,37445.5,37140.19,37326.25,1544.8416
1643936400.0,37180.52,37239.94,37026.73,37168.6,1084.34384
1643932800.0,37311.98,37343.77,37116.97,37180.53,1447.23637
1643929200.0,36933.16,37387,36865.49,37311.61,1386.22097
1643925600.0,36949,37016.42,36800.01,36933.16,705.28717
1643922000.0,36367.43,37050,36357.87,36948.99,1911.35564
1643918400.0,36551.71,36644.05,36270,36367.4,1199.38251
1643914800.0,36762.69,36830,36449.43,36551.7,1198.85605
1643911200.0,36831.52,36853.03,36698,36762.69,799.74746
1643907600.0,36686.65,36886.3,36518.13,36831.51,1071.90257
1643904000.0,36910.06,37104.6,36686.65,36687,1339.84919
1643900400.0,36505.71,36976.89,36474.92,36910.05,1915.37708
1643896800.0,36585.08,36792.17,36484,36505.71,1696.69851
1643893200.0,36690.76,36774.58,36451,36585.08,1362.70695
1643889600.0,36785,36791.98,36250,36694,1897.12482
1643886000.0,36378.83,36796.44,36292.61,36785,1771.47993
1643882400.0,36614.9,36666.67,36250.73,36378.83,2413.18982
1643878800.0,37077.66,37090,36593.4,36614.91,1339.46411
1643875200.0,37024.16,37106.91,36925.25,37077.65,851.30612
1643871600.0,36924.01,37093.03,36916.61,37024.16,969.40725
1643868000.0,36991.63,37006.56,36835.14,36924.01,1083.97686
1643864400.0,36906.99,37081.55,36834.32,36991.62,1910.09664
1643860800.0,36822.5,36957,36780.04,36906.99,639.91773
1643857200.0,36958.67,36960,36772.11,36820.83,629.52766
1643853600.0,36845.52,36958.97,36720.01,36958.68,1068.81062
1643850000.0,36878.38,36996.39,36753,36845.52,1106.46884
1643846400.0,36896.37,37049.65,36763.4,36878.39,1812.13475
1643842800.0,37006.93,37133.16,36797.18,36896.36,1524.1962
1643839200.0,36922.51,37211,36820.5,37006.93,1538.78106
1643835600.0,37566,37612.66,36586.95,36922.51,3452.00636
1643832000.0,37566.56,37662.14,37400.17,37566,1479.08105
1643828400.0,37486.41,37674.34,37401.75,37566.56,1166.16549
1643824800.0,37469.99,37530.98,37380.01,37486.42,880.98096
1643821200.0,37336.71,37550,37269.25,37469.99,1308.70536
1643817600.0,37429.78,37435.9,37066.66,37336.71,3497.25132
1643814000.0,37703.72,37824.17,37361.49,37429.78,3502.09292
1643810400.0,38361.61,38437.02,37611,37703.72,4280.39457
1643806800.0,38724,38772.24,38335.83,38361.61,1421.44402
1643803200.0,38490,38773.41,38468.8,38723.99,1257.76358
1643799600.0,38566.25,38577.21,38427.02,38490,601.82559
1643796000.0,38530.1,38597.95,38359.08,38566.26,922.6473
1643792400.0,38447.5,38564.87,38388,38530.85,901.66424
1643788800.0,38282.14,38465.21,38225,38447.49,1014.70067
1643785200.0,38281.18,38388.46,38200,38284.69,754.53449
1643781600.0,38416.38,38541.27,38196.42,38277.51,915.23311
1643778000.0,38423.44,38519.78,38300,38416.38,932.7053
1643774400.0,38552.87,38555.33,38378.65,38423.44,1141.11423
1643770800.0,38619.71,38749.99,38544.87,38552.87,555.13134
1643767200.0,38439.76,38665.69,38385.19,38622.81,505.6474
1643763600.0,38557.27,38668.84,38374.78,38439.76,1052.16968
1643760000.0,38694.59,38855.92,38429.03,38557.27,1187.72183
1643756400.0,38697.56,38889,38602.3,38694.59,605.62059
1643752800.0,38785.52,38853.23,38532.45,38697.55,629.43065
1643749200.0,38512.86,38819,38490,38785.53,907.43829
1643745600.0,38378.1,38735.63,38369,38512.08,1133.45433
1643742000.0,38533.14,38595.6,38341.06,38378.09,1211.90981
1643738400.0,38868.01,38900,38460.2,38533.15,1130.81481
1643734800.0,39110.89,39171.94,38655.35,38867.24,1950.07901
1643731200.0,38630.32,39265.2,38587.96,39110.89,3016.77143
1643727600.0,38509.46,38649.57,38190.42,38630.33,2242.40938
1643724000.0,38872.2,39034.47,38304.52,38509.46,3170.70783
1643720400.0,38650.01,38965.99,38454,38872.21,1951.15553
1643716800.0,38425.05,38800,38372,38650,1456.53967
1643713200.0,38255.46,38471.43,38204.79,38425.06,1032.06336
1643709600.0,38256.12,38367.16,38000,38253.57,2105.11598
1643706000.0,38597.54,39100,38224.41,38256.12,4270.80387
1643702400.0,38440.76,38624.24,38398.54,38597.53,793.02544
1643698800.0,38285.01,38462.69,38281.16,38440.77,708.0703
1643695200.0,38452.89,38482.91,38240,38285.02,1246.89537
1643691600.0,38556.83,38618.67,38444.26,38452.9,703.01456
1643688000.0,38596.82,38644.57,38470.37,38556.82,758.92782
1643684400.0,38480.9,38649.9,38384.99,38596.82,946.45649
1643680800.0,38238.18,38506.18,38196.61,38480.9,766.83847
1643677200.0,38342.37,38407,38175.86,38238.19,777.8631
1643673600.0,38466.9,38627.35,38276.43,38342.36,1058.2162
