Time,Open,High,Low,Close,Volume
1644343200.0,3052.27,3056.97,3049.31,3052.83,2147.9916
1644339600.0,3044.72,3062.52,3025.21,3052.27,23187.8864
1644336000.0,3076.18,3084.98,3039.17,3044.73,19765.5706
1644332400.0,3070.75,3081.07,3029.2,3076.19,29373.3713
1644328800.0,3092.15,3102.44,3070,3070.74,24064.2466
1644325200.0,3066.35,3092.47,3058.22,3092.15,17150.8903
1644321600.0,3105.19,3105.2,3050,3066.36,27171.7008
1644318000.0,3112.24,3124.35,3091.57,3105.2,13302.3309
1644314400.0,3094.49,3118.79,3077.6,3112.24,17048.0249
1644310800.0,3103.83,3116.18,3073.57,3094.49,43551.6508
1644307200.0,3174.11,3178.66,3101,3103.83,39562.8024
1644303600.0,3182.81,3184.39,3163.1,3174.11,19858.0785
1644300000.0,3185.56,3232.87,3167.59,3182.54,49355.3913
1644296400.0,3162.32,3195,3156.97,3185.56,24654.0213
1644292800.0,3146.46,3165.59,3142.35,3162.2,16796.0991
1644289200.0,3139.59,3148.96,3128.67,3146.45,10138.1368
1644285600.0,3151.22,3157.4,3136.07,3139.6,17151.079
1644282000.0,3129.73,3155.24,3125.31,3151.46,12549.5893
1644278400.0,3139.77,3154.14,3112,3129.72,17585.9274
1644274800.0,3151.69,3160.7,3135.9,3139.77,12800.5573
1644271200.0,3151,3158.11,3143.55,3151.69,8223.7064
1644267600.0,3153.63,3160,3129.53,3150.99,15264.3679
1644264000.0,3166.65,3184.64,3132.86,3153.63,20523.4295
1644260400.0,3161.59,3186,3157.74,3166.64,19775.7052
1644256800.0,3145.15,3179,3138.33,3161.59,28495.2698
1644253200.0,3131.21,3148.9,3115.27,3145.14,19718.1934
1644249600.0,3123.16,3150,3107,3131.21,33557.9526
1644246000.0,3122.95,3126.96,3093.49,3123.15,30867.5885
1644242400.0,3088.89,3127.85,3082.97,3122.94,33806.1677
1644238800.0,3070.98,3094.94,3068.43,3088.89,12853.1874
1644235200.0,3067.24,3086.79,3054.09,3070.99,13309.8166
1644231600.0,3070.86,3078.94,3057.79,3067.24,19429.5352
1644228000.0,3067.05,3078.2,3060.44,3070.85,9009.8159
1644224400.0,3072.1,3079,3049.01,3067.06,14365.6296
1644220800.0,3079.48,3085.82,3065.2,3072.09,10698.5549
1644217200.0,3089.53,3093.96,3068.5,3079.48,9834.3719
1644213600.0,3093.3,3105.46,3076.29,3089.52,26198.3125
1644210000.0,3086.33,3110.44,3080,3093.3,20948.3693
1644206400.0,3068.82,3087.73,3055.34,3086.34,20509.8558
1644202800.0,3034.5,3075,3034.5,3068.82,17496.766
1644199200.0,3019.53,3059.97,3016.54,3034.51,18664.8013
1644195600.0,3010.03,3031.61,2994.83,3019.53,15283.5216
1644192000.0,3055,3063.94,2991.8,3010.02,23394.7052
1644188400.0,2989.03,3074.56,2983.18,3054.99,33834.7771
1644184800.0,2994.06,3001.99,2984,2989.2,4576.9245
1644181200.0,2984.85,3002.11,2980.65,2994.06,5857.7792
1644177600.0,3001.4,3002.4,2975.39,2984.84,7967.17
1644174000.0,2986.05,3003,2983.65,3001.39,5115.1097
1644170400.0,3001.87,3006,2979.69,2986.32,6218.4463
1644166800.0,3002.28,3009.98,2994.23,3001.87,7208.7824
1644163200.0,2991.66,3005.91,2978.23,3002.29,12468.0339
1644159600.0,2977.67,2996.06,2950.21,2991.65,30634.9463
1644156000.0,3014,3047,2970.99,2977.68,37007.8769
1644152400.0,3009.71,3020.05,3000.13,3014,11408.2134
1644148800.0,3006.39,3016.55,3000.01,3009.71,8456.0951
1644145200.0,3007.48,3013.26,2998.53,3006.4,4479.5211
1644141600.0,3018.98,3022.52,3002,3007.47,5968.443
1644138000.0,3011.76,3019.45,3009.68,3018.98,7233.2192
1644134400.0,3010.56,3013.47,2998.05,3011.75,7938.3796
1644130800.0,3003.09,3018,2995,3010.56,8882.8032
1644127200.0,3020,3020.41,2997.43,3003.08,5973.4649
1644123600.0,3017.04,3022.07,3010.42,3020,3633.1129
1644120000.0,3008.59,3017.99,2988.7,3017.05,10797.7789
1644116400.0,3024.42,3025.43,3008.58,3008.6,4670.2049
1644112800.0,3030.58,3031.63,3015.39,3024.25,5582.6316
1644109200.0,3026.31,3033.84,3020.79,3030.58,7305.0541
